Sample,alpha,gamma,beta,delta,Transport_Time,Total_Cost,Time_Change,Cost_Change
59,0.0004885801314507988,0.90928500285228,0.01455690598240565,0.726667330480187,462.7975309820809,80386004005343.9,4.528764362031111,20.737860747855567
60,0.0005572428634777403,0.955780619708964,0.015979518326174086,0.935758247490352,440.31418508455175,69199465984943.45,-0.5493879790276389,3.935947448770393
61,0.0004027929048502518,0.8368615189985593,0.014639625113628386,0.7795986038395186,502.80569680923827,80875998701806.0,13.56512229036656,21.47382109519035
62,0.0005522276911213018,0.8574789654645584,0.015494631060402839,0.8441625024322482,490.78947690403913,76914832437578.66,10.851104745096768,15.524243843190233
63,0.0005376297338051154,0.8405888739843629,0.015556650847623437,0.7960018035478582,500.6436787447216,79921409606377.4,13.07680275172783,20.04005104154249
64,0.0005547049739236171,0.8847817991568647,0.014253825136968474,0.9466686427379448,475.64574275828846,71706092851539.12,7.4306979535495,7.700841217413783
65,0.0005777953106723334,0.9002052969268644,0.014781381132208633,0.9652208875218549,467.50715697094694,70427306938840.67,5.592493859850183,5.7801352765706335
66,0.0005613849723255226,0.8993966056388528,0.014182915139396115,0.7746541826154862,467.9198322609354,78199106343074.17,5.685701872550028,17.45319261832171
67,0.0004160080534797726,0.9117053546466698,0.015158140957247775,0.7889965624737872,461.53540726301935,76997809747556.28,4.2436975153140235,15.64887378370381
68,0.00043362965481368997,0.974086361729184,0.015400275013786567,0.7858348111556027,431.9860505219225,74704189883993.69,-2.4304040972965737,12.20391145323486
69,0.00040902505528074855,0.9462811527030767,0.014852377729383382,0.8412344564931497,444.6684385717546,73186425649079.78,0.4340760765617234,9.924265772241329
70,0.0005821430459583921,0.9378177736223969,0.015233299857770959,0.891844712950473,448.7590891475579,71479178696492.11,1.3580020301383975,7.360021568610707
71,0.0005064361823081843,0.8462712508023408,0.015817954683299298,0.8322817423083442,497.2665345524474,77982719724474.28,12.314031375783513,17.128185078172358
72,0.00047361725641768295,0.9839409750140348,0.015060168823001483,0.7291065991461652,427.6766242908007,77346636567235.34,-3.4037433415500757,16.172803347073174
73,0.000491846442875889,0.8761411046666727,0.014353959357298302,0.7504788315496465,480.30645660428974,80504535939558.67,8.48338001590559,20.91589288596813
74,0.0005851999953547643,0.8301329662309599,0.014453111289050389,0.9092699543014275,506.9736467296859,75639280207069.34,14.506507293399535,13.60839481586936
75,0.000558758709503643,0.9346422895855149,0.014884602261099477,0.892700791258497,450.2732303760733,71561140672847.38,1.6999902670904388,7.4831265022399895
76,0.0005289122135062201,0.9070927104677955,0.015612365234901603,0.7818803780194215,463.93475633036894,77562388867725.78,4.785621308103132,16.496858156551106
77,0.0005175315900129342,0.8487529702192763,0.015387681957557808,0.9929722560871016,495.8180513732071,71921462708301.72,11.986872852262694,8.02432160553407
78,0.00047482192717198697,0.8453126750104994,0.014389473382907117,0.7477630939095536,497.8146836219536,82110190979335.81,12.437837880973998,23.327548459602777
79,0.000412725896366192,0.9778628089755163,0.015123608767247682,0.8797407593790975,430.30874745214726,70416951819614.0,-2.8092445309786527,5.764582134469749
80,0.0004848074260244813,0.8029370955647697,0.014417573902544856,0.795281422767669,524.0924453771005,81864289584582.12,18.373007761065033,22.95821042962059
81,0.0005969130442874288,0.9193193435250109,0.015845128966855818,0.7410168359271603,457.79572960212886,79208378201558.23,3.3990433008119387,18.969094877852825
82,0.0004509367033133432,0.9718116025342448,0.015955587590883235,0.7340465806238728,433.0047152365041,77547225667380.6,-2.2003255925809944,16.474083391286655
83,0.0005389844403618306,0.8122251575353273,0.014206776998648654,0.8471314872680982,518.1273600001432,79015498452198.03,17.025716641243765,18.67939409464453
84,0.0004444798730627044,0.8924201092737118,0.015274708239523309,0.8564906301219456,471.5226423185138,74789176776037.94,6.499442781561822,12.331559738082424
85,0.0005868391344254385,0.843952377818109,0.015254156553452356,0.7628989936545364,498.6729565174143,81404367288703.92,12.631689834024732,22.26741811071287
86,0.0004925021743024655,0.9205579539554873,0.015428358661271051,0.7702273724661788,457.1320075374217,77580307589247.88,3.249133150780606,16.52377164890197
87,0.0005790557782591611,0.9692860827644655,0.015505831714201241,0.7019468099746601,434.1885820070265,79520467401943.0,-1.9329340824547963,19.437845413262703
88,0.00054361321296405,0.8953040391305623,0.014606647548852854,0.9171529503030179,470.05040435444727,72287655996743.28,6.166918934893531,8.574335190781042
89,0.0005234720376313777,0.9789173587767184,0.015757053924661167,0.816216436193494,429.89282111367095,73097168816925.28,-2.903186834720623,9.790204139189532
90,0.00044763046956952435,0.9300905380607949,0.015316674244732115,0.7101591343060945,452.4265080830693,80531907022621.03,2.186335683763186,20.95700359990636
91,0.0004682188151894563,0.8180380773275158,0.014310566759100854,0.7999452834419992,514.4091620963968,80832340153990.47,16.185913905677417,21.408246997661447
92,0.0004664626812754744,0.8902970218235571,0.015718389072376097,0.8759485608237793,472.6574752794532,74108244661954.44,6.755759376234603,11.308815943484909
93,0.00046411173293947145,0.9631285799109743,0.014513540663400467,0.7384127715478918,436.9141998375648,77565928349398.4,-1.3173183004416504,16.502174373604024
94,0.0005197253736682788,0.9651376727035478,0.014037083181905599,0.973008535997099,436.0289514925579,67535424670112.414,-1.517263005117892,1.4365970825624625
95,0.0005629205000338901,0.861248837823182,0.015325085054917208,0.9272274038362569,488.646413148372,73496742922618.7,10.367066280471484,10.39035491579057
96,0.00042879182977480354,0.8863307977770243,0.014778179382364311,0.980844560974565,474.7546680494838,70533318263098.6,7.229437289803194,5.9393617571542165
97,0.0005008964073816813,0.9261802487072767,0.014176743338911143,0.8172598989418929,454.3608442694351,75025539271060.78,2.6232303469488754,12.686570568179
98,0.00046194024722373805,0.9285466283101593,0.01482079246606411,0.899186779466088,453.1852529634683,71558712200051.9,2.357707956743612,7.479478994022144
99,0.0005089590355458777,0.8095831465200198,0.014055850857085453,0.7554164238882005,519.8026122461359,83511487214950.5,17.404093870043454,25.43226198350046
