Total_Time,Total_Cost
117.2529313232831,76633461650753.75
117.25293132328308,76633461650753.75
117.25293132328306,76633461650753.75
117.15935356484471,76654836889061.22
117.1593535648447,76654836889061.22
117.15935356484468,76654836889061.23
117.06577580640634,76676212127368.67
117.06577580640632,76676212127368.69
117.06577580640631,76676215377368.69
116.97219804796796,76697587365676.12
116.97219804796795,76697587365676.14
116.97219804796794,76697587365676.14
116.87862028952958,76718962603983.6
116.87862028952956,76718965853983.61
116.78504253109122,76740337842291.06
116.7850425310912,76740337842291.06
116.69146477265284,76761713080598.52
116.69146477265282,76761713080598.52
116.69146477265281,76761713080598.53
116.59788701421445,76783088318905.97
116.50430925577608,76804463557213.44
116.50430925577606,76804463557213.44
116.41073149733771,76825838795520.89
116.4107314973377,76825842045520.9
116.31715373889935,76847214033828.34
116.31715373889934,76847214033828.34
116.31715373889932,76847214033828.34
116.22357598046096,76868589272135.81
116.22357598046095,76868589272135.81
116.22357598046094,76868589272135.81
116.12999822202258,76889964510443.27
116.03642046358422,76911339748750.72
116.03642046358421,76911339748750.72
116.0364204635842,76911339748750.73
115.94284270514584,76932714987058.19
115.94284270514582,76932718237058.19
115.84926494670746,76954090225365.64
115.84926494670745,76954090225365.66
115.7556871882691,76975465463673.1
115.75568718826909,76975465463673.11
115.75568718826908,76975465463673.11
115.75568718826906,76975465463673.12
115.6621094298307,76996840701980.56
115.66210942983069,76996843951980.58
115.56853167139234,77018215940288.03
115.56853167139232,77018215940288.03
115.47495391295396,77039591178595.48
115.47495391295395,77039594428595.5
115.3813761545156,77060966416902.94
115.38137615451559,77060966416902.94
115.38137615451558,77060966416902.94
115.28779839607722,77082341655210.4
115.2877983960772,77082341655210.4
115.28779839607719,77082341655210.4
115.19422063763885,77103716893517.86
115.19422063763884,77103716893517.86
115.19422063763882,77103720143517.88
115.10064287920048,77125092131825.31
115.10064287920046,77125092131825.31
115.10064287920045,77125092131825.33
115.00706512076209,77146467370132.78
115.00706512076208,77146470620132.78
114.91348736232372,77167842608440.23
114.9134873623237,77167842608440.23
114.81990960388536,77189217846747.69
114.81990960388535,77189217846747.69
114.81990960388534,77189217846747.7
114.81990960388532,77189221096747.7
114.72633184544696,77210593085055.16
114.72633184544695,77210596335055.17
114.63275408700859,77231968323362.61
114.63275408700858,77231968323362.62
114.53917632857022,77253343561670.06
114.5391763285702,77253346811670.1
114.44559857013186,77274718799977.53
114.44559857013184,77274718799977.53
114.35202081169348,77296094038285.0
114.35202081169346,77296094038285.0
114.35202081169345,77296097288285.0
114.25844305325512,77317469276592.45
114.25844305325509,77317469276592.45
114.25844305325508,77317472526592.47
114.16486529481672,77338844514899.9
114.1648652948167,77338844514899.9
114.07128753637836,77360219753207.38
114.07128753637835,77360219753207.38
114.07128753637834,77360223003207.38
113.97770977793999,77381594991514.83
113.97770977793998,77381594991514.83
113.97770977793996,77381594991514.83
113.8841320195016,77402970229822.28
113.88413201950159,77402970229822.28
113.88413201950158,77402970229822.3
113.79055426106322,77424345468129.75
113.7905542610632,77424348718129.77
113.69697650262485,77445720706437.2
113.69697650262484,77445720706437.22
113.60339874418648,77467095944744.66
113.60339874418646,77467099194744.67
113.50982098574812,77488471183052.12
113.5098209857481,77488471183052.12
113.50982098574809,77488471183052.12
113.41624322730975,77509846421359.58
113.41624322730974,77509846421359.58
113.41624322730972,77509846421359.6
113.4162432273097,77509846421359.6
113.32266546887136,77531221659667.03
113.32266546887135,77531221659667.03
113.32266546887134,77531224909667.06
113.22908771043299,77552596897974.5
113.22908771043298,77552596897974.5
113.22908771043296,77552596897974.5
113.1355099519946,77573972136281.97
113.13550995199459,77573975386281.97
113.04193219355625,77595347374589.42
113.04193219355622,77595347374589.42
112.94835443511786,77616722612896.88
112.94835443511785,77616722612896.88
112.94835443511784,77616725862896.89
112.85477667667949,77638097851204.34
112.85477667667948,77638097851204.34
112.85477667667946,77638101101204.34
112.76119891824112,77659473089511.8
112.76119891824109,77659473089511.8
112.66762115980274,77680848327819.25
112.66762115980272,77680851577819.27
112.57404340136436,77702223566126.72
112.57404340136435,77702223566126.72
112.48046564292598,77723598804434.17
112.48046564292596,77723598804434.19
112.3868878844876,77744974042741.62
112.38688788448759,77744977292741.66
112.29331012604924,77766349281049.1
112.29331012604922,77766349281049.1
112.19973236761086,77787724519356.55
112.19973236761085,77787727769356.56
112.10615460917248,77809099757664.0
112.0125768507341,77830474995971.47
112.01257685073409,77830474995971.47
111.91899909229573,77851850234278.94
111.91899909229572,77851853484278.94
111.82542133385736,77873225472586.39
111.82542133385735,77873225472586.39
111.73184357541899,77894600710893.84
111.73184357541898,77894603960893.86
111.6382658169806,77915975949201.31
111.54468805854225,77937351187508.77
111.54468805854223,77937351187508.77
111.54468805854222,77937351187508.78
111.45111030010386,77958726425816.22
111.45111030010385,77958729675816.23
111.3575325416655,77980101664123.69
111.35753254166549,77980101664123.69
111.35753254166548,77980101664123.69
111.26395478322712,78001476902431.14
111.2639547832271,78001480152431.16
111.17037702478876,78022852140738.6
111.17037702478873,78022852140738.6
111.07679926635038,78044227379046.06
111.07679926635036,78044227379046.06
111.07679926635035,78044227379046.06
110.983221507912,78065602617353.52
110.98322150791199,78065602617353.52
110.98322150791198,78065605867353.53
110.88964374947363,78086977855660.97
110.88964374947362,78086977855660.97
110.8896437494736,78086977855660.98
110.79606599103525,78108353093968.44
110.79606599103523,78108356343968.45
110.70248823259686,78129728332275.9
110.6089104741585,78151103570583.36
110.60891047415849,78151103570583.36
110.60891047415848,78151103570583.38
110.51533271572013,78172478808890.81
110.51533271572012,78172478808890.81
110.5153327157201,78172482058890.83
110.42175495728175,78193854047198.28
110.42175495728173,78193854047198.28
110.32817719884338,78215229285505.73
110.32817719884336,78215232535505.75
110.23459944040499,78236604523813.19
110.14102168196663,78257979762120.66
110.1410216819666,78257979762120.66
110.04744392352826,78279355000428.11
110.04744392352825,78279355000428.11
110.04744392352823,78279358250428.12
109.95386616508989,78300730238735.56
109.95386616508986,78300730238735.56
109.8602884066515,78322105477043.03
109.86028840665149,78322108727043.03
109.76671064821313,78343480715350.5
109.76671064821312,78343480715350.5
109.67313288977476,78364855953657.95
109.67313288977475,78364855953657.95
109.67313288977473,78364855953657.97
109.57955513133638,78386231191965.4
109.57955513133636,78386234441965.42
109.48597737289802,78407606430272.88
109.485977372898,78407606430272.88
109.48597737289799,78407606430272.88
109.39239961445963,78428981668580.33
109.39239961445962,78428984918580.33
109.29882185602125,78450356906887.78
109.20524409758289,78471732145195.25
109.20524409758288,78471732145195.25
109.20524409758286,78471735395195.25
109.1116663391445,78493107383502.7
109.11166633914449,78493110633502.72
109.01808858070615,78514482621810.16
109.01808858070613,78514482621810.16
109.01808858070612,78514482621810.16
108.92451082226776,78535857860117.62
108.92451082226775,78535861110117.62
108.83093306382938,78557233098425.1
108.73735530539102,78578608336732.53
108.737355305391,78578611586732.53
108.73735530539099,78578611586732.55
108.64377754695263,78599983575040.0
108.64377754695262,78599986825040.0
108.55019978851428,78621358813347.47
108.55019978851426,78621358813347.47
108.55019978851425,78621358813347.47
108.45662203007589,78642734051654.92
108.45662203007588,78642737301654.92
108.3630442716375,78664112539962.38
108.26946651319915,78685487778269.83
108.26946651319913,78685487778269.83
108.26946651319912,78685487778269.84
108.17588875476076,78706863016577.28
108.17588875476075,78706863016577.31
108.08231099632239,78728238254884.75
108.08231099632238,78728238254884.75
107.98873323788402,78749613493192.22
107.988733237884,78749613493192.22
107.89515547944565,78770988731499.66
107.89515547944563,78770988731499.67
107.89515547944562,78770991981499.69
107.80157772100726,78792363969807.12
107.80157772100725,78792363969807.12
107.70799996256889,78813739208114.6
107.70799996256888,78813739208114.6
107.61442220413052,78835114446422.05
107.6144222041305,78835114446422.05
107.52084444569215,78856489684729.5
107.52084444569213,78856489684729.5
107.42726668725379,78877864923036.97
107.42726668725376,78877864923036.97
107.42726668725375,78877868173036.98
107.3336889288154,78899240161344.42
107.33368892881539,78899240161344.42
107.33368892881538,78899240161344.42
107.24011117037702,78920615399651.88
107.240111170377,78920615399651.89
107.14653341193865,78941990637959.34
107.14653341193863,78941990637959.34
107.05295565350028,78963365876266.8
107.05295565350026,78963365876266.81
106.9593778950619,78984741114574.25
106.95937789506189,78984741114574.25
